240118_23_51
 start training 
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 0) 
bl_vals = [ 3. 45. 45. ... 45. 45. 45.] ,means = 41.98929977416992 
Epoch 0 (batch = 0): Loss: -124.602 L: 28.438, 0min1sec 
Epoch 0 (batch = 1): Loss: -136.588 L: 27.227, 0min1sec 
Epoch 0 (batch = 2): Loss: -182.319 L: 28.151, 0min1sec 
Epoch 0 (batch = 3): Loss: -185.618 L: 28.027, 0min1sec 
Epoch 0 (batch = 4): Loss: -198.259 L: 27.881, 0min1sec 
Epoch 0 (batch = 5): Loss: -200.867 L: 27.956, 0min1sec 
Epoch 0 (batch = 6): Loss: -217.289 L: 27.897, 0min1sec 
Epoch 0 (batch = 7): Loss: -224.071 L: 27.928, 0min1sec 
Epoch 0 (batch = 8): Loss: -226.297 L: 28.003, 0min1sec 
Epoch 0 (batch = 9): Loss: -220.799 L: 27.666, 0min1sec 
Epoch 0 (batch = 10): Loss: -221.578 L: 27.467, 0min1sec 
Epoch 0 (batch = 11): Loss: -229.234 L: 27.471, 0min1sec 
Epoch 0 (batch = 12): Loss: -250.530 L: 27.620, 0min1sec 
Epoch 0 (batch = 13): Loss: -241.199 L: 27.388, 0min1sec 
Epoch 0 (batch = 14): Loss: -251.834 L: 27.220, 0min1sec 
Epoch 0 (batch = 15): Loss: -258.568 L: 27.096, 0min1sec 
Epoch 0 (batch = 16): Loss: -254.712 L: 26.875, 0min1sec 
Epoch 0 (batch = 17): Loss: -263.069 L: 26.806, 0min1sec 
Epoch 0 (batch = 18): Loss: -271.476 L: 26.733, 0min1sec 
Epoch 0 (batch = 19): Loss: -274.109 L: 26.609, 0min1sec 
Epoch 0 (batch = 20): Loss: -272.543 L: 26.424, 0min1sec 
Epoch 0 (batch = 21): Loss: -265.474 L: 26.067, 0min1sec 
Epoch 0 (batch = 22): Loss: -273.019 L: 26.029, 0min1sec 
Epoch 0 (batch = 23): Loss: -277.747 L: 25.944, 0min1sec 
Epoch 0 (batch = 24): Loss: -276.792 L: 25.711, 0min1sec 
Epoch 0 (batch = 25): Loss: -277.124 L: 25.474, 0min1sec 
Epoch 0 (batch = 26): Loss: -277.339 L: 25.286, 0min1sec 
Epoch 0 (batch = 27): Loss: -273.829 L: 25.030, 0min1sec 
Epoch 0 (batch = 28): Loss: -274.520 L: 24.836, 0min1sec 
Epoch 0 (batch = 29): Loss: -277.423 L: 24.758, 0min1sec 
Epoch 0 (batch = 30): Loss: -274.336 L: 24.536, 0min1sec 
Epoch 0 (batch = 31): Loss: -273.696 L: 24.356, 0min1sec 
Epoch 0 (batch = 32): Loss: -272.261 L: 24.187, 0min1sec 
Epoch 0 (batch = 33): Loss: -269.887 L: 23.972, 0min1sec 
Epoch 0 (batch = 34): Loss: -267.873 L: 23.791, 0min1sec 
Epoch 0 (batch = 35): Loss: -266.967 L: 23.645, 0min1sec 
Epoch 0 (batch = 36): Loss: -264.162 L: 23.443, 0min1sec 
Epoch 0 (batch = 37): Loss: -265.809 L: 23.339, 0min1sec 
