240119_00_18
 start training 
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 0) 
bl_vals = [45. 45.  3. ... 45. 45. 45.] ,means = 38.174198150634766 
Epoch 0 (batch = 0): Loss: -185.379 L: 29.008, 0min2sec 
Epoch 0 (batch = 1): Loss: -183.747 L: 28.457, 0min2sec 
Epoch 0 (batch = 2): Loss: -180.424 L: 27.672, 0min2sec 
Epoch 0 (batch = 3): Loss: -195.141 L: 27.516, 0min2sec 
Epoch 0 (batch = 4): Loss: -210.755 L: 27.523, 0min2sec 
Epoch 0 (batch = 5): Loss: -221.324 L: 27.520, 0min2sec 
Epoch 0 (batch = 6): Loss: -218.906 L: 27.170, 0min2sec 
Epoch 0 (batch = 7): Loss: -225.092 L: 26.772, 0min2sec 
Epoch 0 (batch = 8): Loss: -244.960 L: 26.682, 0min2sec 
Epoch 0 (batch = 9): Loss: -247.686 L: 26.430, 0min2sec 
Epoch 0 (batch = 10): Loss: -247.652 L: 26.108, 0min2sec 
Epoch 0 (batch = 11): Loss: -251.539 L: 25.938, 0min2sec 
Epoch 0 (batch = 12): Loss: -261.336 L: 25.801, 0min2sec 
Epoch 0 (batch = 13): Loss: -261.542 L: 25.567, 0min2sec 
Epoch 0 (batch = 14): Loss: -260.001 L: 25.262, 0min2sec 
Epoch 0 (batch = 15): Loss: -261.791 L: 24.958, 0min2sec 
Epoch 0 (batch = 16): Loss: -264.090 L: 24.716, 0min2sec 
Epoch 0 (batch = 17): Loss: -268.280 L: 24.461, 0min2sec 
Epoch 0 (batch = 18): Loss: -269.976 L: 24.241, 0min2sec 
Epoch 0 (batch = 19): Loss: -266.760 L: 23.948, 0min2sec 
Epoch 0 (batch = 20): Loss: -262.846 L: 23.633, 0min2sec 
Epoch 0 (batch = 21): Loss: -264.324 L: 23.393, 0min2sec 
Epoch 0 (batch = 22): Loss: -263.579 L: 23.190, 0min2sec 
Epoch 0 (batch = 23): Loss: -263.227 L: 23.042, 0min2sec 
Epoch 0 (batch = 24): Loss: -263.368 L: 22.854, 0min2sec 
Epoch 0 (batch = 25): Loss: -262.760 L: 22.710, 0min2sec 
Epoch 0 (batch = 26): Loss: -262.615 L: 22.560, 0min2sec 
Epoch 0 (batch = 27): Loss: -259.831 L: 22.360, 0min2sec 
