240119_11_05
 start training 
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 0) 
bl_vals = [45.  0. 45. ... 45. 45. 45.] ,means = 43.89690017700195 
Epoch 0 (batch = 0): Loss: -148.441 L: 29.266, 0min2sec 
Epoch 0 (batch = 1): Loss: -190.142 L: 29.453, 0min2sec 
Epoch 0 (batch = 2): Loss: -227.337 L: 29.094, 0min2sec 
Epoch 0 (batch = 3): Loss: -236.685 L: 28.520, 0min2sec 
Epoch 0 (batch = 4): Loss: -246.095 L: 28.416, 0min2sec 
Epoch 0 (batch = 5): Loss: -251.742 L: 28.135, 0min2sec 
Epoch 0 (batch = 6): Loss: -266.437 L: 27.902, 0min2sec 
Epoch 0 (batch = 7): Loss: -276.334 L: 27.704, 0min2sec 
Epoch 0 (batch = 8): Loss: -279.053 L: 27.365, 0min2sec 
Epoch 0 (batch = 9): Loss: -279.657 L: 27.117, 0min2sec 
Epoch 0 (batch = 10): Loss: -283.105 L: 26.893, 0min2sec 
Epoch 0 (batch = 11): Loss: -287.842 L: 26.792, 0min2sec 
Epoch 0 (batch = 12): Loss: -286.538 L: 26.454, 0min2sec 
Epoch 0 (batch = 13): Loss: -284.940 L: 26.164, 0min2sec 
Epoch 0 (batch = 14): Loss: -296.702 L: 26.099, 0min2sec 
Epoch 0 (batch = 15): Loss: -294.503 L: 25.958, 0min2sec 
Epoch 0 (batch = 16): Loss: -295.550 L: 25.733, 0min2sec 
Epoch 0 (batch = 17): Loss: -289.833 L: 25.365, 0min2sec 
Epoch 0 (batch = 18): Loss: -287.511 L: 25.044, 0min2sec 
Epoch 0 (batch = 19): Loss: -287.183 L: 24.815, 0min2sec 
Epoch 0 (batch = 20): Loss: -285.265 L: 24.559, 0min2sec 
Epoch 0 (batch = 21): Loss: -283.909 L: 24.356, 0min2sec 
Epoch 0 (batch = 22): Loss: -281.096 L: 24.191, 0min2sec 
Epoch 0 (batch = 23): Loss: -276.938 L: 23.979, 0min2sec 
Epoch 0 (batch = 24): Loss: -277.486 L: 23.798, 0min2sec 
Epoch 0 (batch = 25): Loss: -276.219 L: 23.624, 0min2sec 
Epoch 0 (batch = 26): Loss: -273.138 L: 23.527, 0min2sec 
Epoch 0 (batch = 27): Loss: -270.222 L: 23.330, 0min2sec 
Epoch 0 (batch = 28): Loss: -266.677 L: 23.124, 0min2sec 
Epoch 0 (batch = 29): Loss: -266.090 L: 22.974, 0min2sec 
Epoch 0 (batch = 30): Loss: -267.840 L: 22.904, 0min2sec 
Epoch 0 (batch = 31): Loss: -263.379 L: 22.696, 0min2sec 
Epoch 0 (batch = 32): Loss: -262.563 L: 22.576, 0min2sec 
Epoch 0 (batch = 33): Loss: -261.860 L: 22.435, 0min2sec 
Epoch 0 (batch = 34): Loss: -259.032 L: 22.290, 0min2sec 
Epoch 0 (batch = 35): Loss: -254.699 L: 22.082, 0min2sec 
Epoch 0 (batch = 36): Loss: -251.433 L: 21.937, 0min2sec 
Epoch 0 (batch = 37): Loss: -250.103 L: 21.840, 0min2sec 
