240119_13_12
 start training 
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 0) 
bl_vals = [45. 45. 45. ... 45. 45. 45.] ,means = 44.727500915527344 
Epoch 0 (batch = 0): Loss: -201.129 L: 28.898, 0min3sec 
Epoch 0 (batch = 1): Loss: -205.351 L: 29.812, 0min2sec 
Epoch 0 (batch = 2): Loss: -208.035 L: 29.130, 0min2sec 
Epoch 0 (batch = 3): Loss: -217.935 L: 28.686, 0min3sec 
Epoch 0 (batch = 4): Loss: -204.642 L: 28.155, 0min2sec 
Epoch 0 (batch = 5): Loss: -220.297 L: 28.116, 0min2sec 
Epoch 0 (batch = 6): Loss: -238.009 L: 28.021, 0min2sec 
Epoch 0 (batch = 7): Loss: -237.962 L: 27.890, 0min2sec 
Epoch 0 (batch = 8): Loss: -246.279 L: 27.533, 0min2sec 
Epoch 0 (batch = 9): Loss: -249.379 L: 27.209, 0min2sec 
Epoch 0 (batch = 10): Loss: -260.115 L: 26.938, 0min2sec 
Epoch 0 (batch = 11): Loss: -267.695 L: 26.749, 0min2sec 
Epoch 0 (batch = 12): Loss: -277.997 L: 26.684, 0min2sec 
Epoch 0 (batch = 13): Loss: -281.726 L: 26.426, 0min2sec 
Epoch 0 (batch = 14): Loss: -280.394 L: 26.118, 0min2sec 
Epoch 0 (batch = 15): Loss: -284.312 L: 25.916, 0min2sec 
Epoch 0 (batch = 16): Loss: -288.470 L: 25.744, 0min2sec 
Epoch 0 (batch = 17): Loss: -287.069 L: 25.481, 0min2sec 
Epoch 0 (batch = 18): Loss: -287.751 L: 25.254, 0min2sec 
Epoch 0 (batch = 19): Loss: -291.881 L: 25.054, 0min2sec 
Epoch 0 (batch = 20): Loss: -291.266 L: 24.855, 0min2sec 
Epoch 0 (batch = 21): Loss: -294.548 L: 24.636, 0min2sec 
Epoch 0 (batch = 22): Loss: -298.046 L: 24.511, 0min2sec 
Epoch 0 (batch = 23): Loss: -294.654 L: 24.258, 0min2sec 
Epoch 0 (batch = 24): Loss: -298.630 L: 24.073, 0min2sec 
Epoch 0 (batch = 25): Loss: -295.647 L: 23.838, 0min2sec 
Epoch 0 (batch = 26): Loss: -299.276 L: 23.714, 0min2sec 
Epoch 0 (batch = 27): Loss: -298.469 L: 23.544, 0min2sec 
Epoch 0 (batch = 28): Loss: -296.989 L: 23.367, 0min2sec 
Epoch 0 (batch = 29): Loss: -300.650 L: 23.292, 0min2sec 
Epoch 0 (batch = 30): Loss: -299.989 L: 23.121, 0min2sec 
Epoch 0 (batch = 31): Loss: -297.767 L: 22.940, 0min2sec 
Epoch 0 (batch = 32): Loss: -296.840 L: 22.811, 0min2sec 
Epoch 0 (batch = 33): Loss: -296.193 L: 22.671, 0min2sec 
Epoch 0 (batch = 34): Loss: -294.732 L: 22.512, 0min2sec 
Epoch 0 (batch = 35): Loss: -294.091 L: 22.379, 0min2sec 
Epoch 0 (batch = 36): Loss: -293.654 L: 22.267, 0min2sec 
Epoch 0 (batch = 37): Loss: -293.536 L: 22.164, 0min2sec 
Epoch 0 (batch = 38): Loss: -291.201 L: 22.033, 0min2sec 
Epoch 0 (batch = 39): Loss: -289.427 L: 21.909, 0min2sec 
Epoch 0 (batch = 40): Loss: -290.057 L: 21.831, 0min2sec 
Epoch 0 (batch = 41): Loss: -288.650 L: 21.682, 0min2sec 
Epoch 0 (batch = 42): Loss: -286.269 L: 21.530, 0min2sec 
Epoch 0 (batch = 43): Loss: -284.532 L: 21.405, 0min2sec 
Epoch 0 (batch = 44): Loss: -284.421 L: 21.322, 0min2sec 
Epoch 0 (batch = 45): Loss: -282.870 L: 21.221, 0min2sec 
Epoch 0 (batch = 46): Loss: -281.015 L: 21.101, 0min2sec 
Epoch 0 (batch = 47): Loss: -279.446 L: 20.993, 0min2sec 
Epoch 0 (batch = 48): Loss: -278.229 L: 20.889, 0min2sec 
Epoch 0 (batch = 49): Loss: -277.253 L: 20.792, 0min2sec 
Evaluating candidate model on baseline dataset (callback epoch = 0) 
Epoch 0 candidate mean 15.948100090026855, baseline mean 44.727500915527344 
Update baseline
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 0) 
bl_vals = [11.  2.  4. ...  4.  2.  9.] ,means = 13.839400291442871 
Epoch 1 (batch = 0): Loss: -249.658 L: 16.844, 0min9sec 
Epoch 1 (batch = 1): Loss: -207.494 L: 15.855, 0min2sec 
Epoch 1 (batch = 2): Loss: -197.986 L: 15.786, 0min2sec 
Epoch 1 (batch = 3): Loss: -188.637 L: 15.506, 0min2sec 
Epoch 1 (batch = 4): Loss: -189.668 L: 15.359, 0min2sec 
Epoch 1 (batch = 5): Loss: -185.057 L: 15.103, 0min2sec 
Epoch 1 (batch = 6): Loss: -184.253 L: 14.939, 0min2sec 
Epoch 1 (batch = 7): Loss: -182.441 L: 14.972, 0min2sec 
Epoch 1 (batch = 8): Loss: -181.847 L: 14.969, 0min2sec 
Epoch 1 (batch = 9): Loss: -178.425 L: 14.936, 0min2sec 
Epoch 1 (batch = 10): Loss: -177.427 L: 14.892, 0min2sec 
Epoch 1 (batch = 11): Loss: -173.280 L: 14.779, 0min2sec 
Epoch 1 (batch = 12): Loss: -174.269 L: 14.803, 0min2sec 
Epoch 1 (batch = 13): Loss: -168.668 L: 14.722, 0min2sec 
Epoch 1 (batch = 14): Loss: -165.182 L: 14.593, 0min2sec 
Epoch 1 (batch = 15): Loss: -164.585 L: 14.554, 0min2sec 
Epoch 1 (batch = 16): Loss: -162.556 L: 14.495, 0min2sec 
Epoch 1 (batch = 17): Loss: -161.828 L: 14.479, 0min2sec 
Epoch 1 (batch = 18): Loss: -159.507 L: 14.443, 0min2sec 
Epoch 1 (batch = 19): Loss: -157.591 L: 14.432, 0min2sec 
Epoch 1 (batch = 20): Loss: -158.539 L: 14.456, 0min2sec 
Epoch 1 (batch = 21): Loss: -157.120 L: 14.431, 0min2sec 
Epoch 1 (batch = 22): Loss: -154.790 L: 14.352, 0min2sec 
Epoch 1 (batch = 23): Loss: -153.930 L: 14.303, 0min2sec 
Epoch 1 (batch = 24): Loss: -151.579 L: 14.241, 0min2sec 
Epoch 1 (batch = 25): Loss: -148.469 L: 14.178, 0min2sec 
Epoch 1 (batch = 26): Loss: -146.846 L: 14.118, 0min2sec 
Epoch 1 (batch = 27): Loss: -144.936 L: 14.064, 0min2sec 
Epoch 1 (batch = 28): Loss: -143.356 L: 14.029, 0min2sec 
Epoch 1 (batch = 29): Loss: -141.090 L: 14.001, 0min2sec 
Epoch 1 (batch = 30): Loss: -140.084 L: 13.983, 0min2sec 
Epoch 1 (batch = 31): Loss: -137.790 L: 13.892, 0min2sec 
Epoch 1 (batch = 32): Loss: -137.765 L: 13.869, 0min2sec 
Epoch 1 (batch = 33): Loss: -137.442 L: 13.849, 0min2sec 
Epoch 1 (batch = 34): Loss: -135.579 L: 13.805, 0min2sec 
Epoch 1 (batch = 35): Loss: -134.461 L: 13.777, 0min2sec 
Epoch 1 (batch = 36): Loss: -132.774 L: 13.722, 0min2sec 
Epoch 1 (batch = 37): Loss: -131.220 L: 13.712, 0min2sec 
Epoch 1 (batch = 38): Loss: -130.163 L: 13.650, 0min2sec 
Epoch 1 (batch = 39): Loss: -128.807 L: 13.594, 0min2sec 
Epoch 1 (batch = 40): Loss: -127.706 L: 13.553, 0min2sec 
Epoch 1 (batch = 41): Loss: -126.143 L: 13.491, 0min1sec 
Epoch 1 (batch = 42): Loss: -125.004 L: 13.442, 0min2sec 
Epoch 1 (batch = 43): Loss: -123.555 L: 13.384, 0min1sec 
Epoch 1 (batch = 44): Loss: -122.569 L: 13.348, 0min1sec 
Epoch 1 (batch = 45): Loss: -121.832 L: 13.305, 0min2sec 
