240119_14_08
 start training 
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 0) 
bl_vals = [45. 45. 45. ... 45. 45. 45.] ,means = 43.1510009765625 
Epoch 0 (batch = 0): Loss: -204.205 L: 30.469, 0min3sec 
Epoch 0 (batch = 1): Loss: -232.339 L: 29.535, 0min3sec 
Epoch 0 (batch = 2): Loss: -255.736 L: 29.594, 0min3sec 
Epoch 0 (batch = 3): Loss: -284.485 L: 29.238, 0min3sec 
Epoch 0 (batch = 4): Loss: -260.390 L: 28.480, 0min3sec 
Epoch 0 (batch = 5): Loss: -264.517 L: 28.014, 0min3sec 
Epoch 0 (batch = 6): Loss: -272.924 L: 27.869, 0min3sec 
Epoch 0 (batch = 7): Loss: -274.514 L: 27.602, 0min3sec 
Epoch 0 (batch = 8): Loss: -272.010 L: 27.279, 0min3sec 
Epoch 0 (batch = 9): Loss: -267.361 L: 26.730, 0min3sec 
Epoch 0 (batch = 10): Loss: -275.403 L: 26.530, 0min3sec 
Epoch 0 (batch = 11): Loss: -271.346 L: 26.058, 0min3sec 
Epoch 0 (batch = 12): Loss: -284.747 L: 25.909, 0min3sec 
Epoch 0 (batch = 13): Loss: -281.007 L: 25.554, 0min3sec 
Epoch 0 (batch = 14): Loss: -294.373 L: 25.365, 0min3sec 
Epoch 0 (batch = 15): Loss: -296.926 L: 25.116, 0min3sec 
Epoch 0 (batch = 16): Loss: -311.672 L: 25.062, 0min3sec 
Epoch 0 (batch = 17): Loss: -306.713 L: 24.676, 0min3sec 
Epoch 0 (batch = 18): Loss: -315.264 L: 24.532, 0min3sec 
Epoch 0 (batch = 19): Loss: -309.586 L: 24.205, 0min2sec 
Epoch 0 (batch = 20): Loss: -306.923 L: 23.944, 0min3sec 
Epoch 0 (batch = 21): Loss: -306.431 L: 23.659, 0min2sec 
Epoch 0 (batch = 22): Loss: -311.848 L: 23.510, 0min2sec 
Epoch 0 (batch = 23): Loss: -308.003 L: 23.244, 0min2sec 
Epoch 0 (batch = 24): Loss: -308.356 L: 23.030, 0min2sec 
Epoch 0 (batch = 25): Loss: -306.561 L: 22.796, 0min2sec 
Epoch 0 (batch = 26): Loss: -305.138 L: 22.582, 0min2sec 
Epoch 0 (batch = 27): Loss: -303.047 L: 22.375, 0min2sec 
Epoch 0 (batch = 28): Loss: -303.173 L: 22.229, 0min2sec 
Epoch 0 (batch = 29): Loss: -300.993 L: 22.035, 0min2sec 
Epoch 0 (batch = 30): Loss: -300.148 L: 21.879, 0min2sec 
Epoch 0 (batch = 31): Loss: -297.684 L: 21.707, 0min2sec 
Epoch 0 (batch = 32): Loss: -294.148 L: 21.507, 0min3sec 
Epoch 0 (batch = 33): Loss: -289.205 L: 21.275, 0min2sec 
Epoch 0 (batch = 34): Loss: -286.788 L: 21.106, 0min2sec 
Epoch 0 (batch = 35): Loss: -284.171 L: 20.947, 0min2sec 
Epoch 0 (batch = 36): Loss: -280.335 L: 20.751, 0min2sec 
Epoch 0 (batch = 37): Loss: -277.419 L: 20.573, 0min2sec 
Epoch 0 (batch = 38): Loss: -275.256 L: 20.443, 0min2sec 
Epoch 0 (batch = 39): Loss: -271.860 L: 20.281, 0min3sec 
Epoch 0 (batch = 40): Loss: -268.962 L: 20.121, 0min2sec 
Epoch 0 (batch = 41): Loss: -266.458 L: 19.988, 0min2sec 
Epoch 0 (batch = 42): Loss: -263.534 L: 19.842, 0min2sec 
Epoch 0 (batch = 43): Loss: -261.229 L: 19.713, 0min2sec 
Epoch 0 (batch = 44): Loss: -259.185 L: 19.603, 0min2sec 
Epoch 0 (batch = 45): Loss: -256.232 L: 19.459, 0min2sec 
Epoch 0 (batch = 46): Loss: -252.813 L: 19.334, 0min3sec 
Epoch 0 (batch = 47): Loss: -249.980 L: 19.198, 0min2sec 
Epoch 0 (batch = 48): Loss: -247.502 L: 19.094, 0min2sec 
Epoch 0 (batch = 49): Loss: -245.258 L: 18.978, 0min2sec 
Evaluating candidate model on baseline dataset (callback epoch = 0) 
Epoch 0 candidate mean 17.202600479125977, baseline mean 43.1510009765625 
Update baseline
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 0) 
bl_vals = [5. 5. 6. ... 5. 6. 1.] ,means = 14.668299674987793 
Epoch 1 (batch = 0): Loss: -105.387 L: 12.594, 0min10sec 
Epoch 1 (batch = 1): Loss: -102.569 L: 12.965, 0min2sec 
Epoch 1 (batch = 2): Loss: -97.756 L: 13.034, 0min2sec 
Epoch 1 (batch = 3): Loss: -96.771 L: 12.842, 0min2sec 
Epoch 1 (batch = 4): Loss: -98.791 L: 12.941, 0min2sec 
Epoch 1 (batch = 5): Loss: -99.052 L: 12.792, 0min2sec 
Epoch 1 (batch = 6): Loss: -95.448 L: 12.594, 0min2sec 
Epoch 1 (batch = 7): Loss: -90.809 L: 12.523, 0min2sec 
Epoch 1 (batch = 8): Loss: -90.961 L: 12.453, 0min2sec 
Epoch 1 (batch = 9): Loss: -92.517 L: 12.587, 0min2sec 
Epoch 1 (batch = 10): Loss: -89.770 L: 12.543, 0min2sec 
Epoch 1 (batch = 11): Loss: -90.224 L: 12.527, 0min2sec 
Epoch 1 (batch = 12): Loss: -88.321 L: 12.502, 0min2sec 
Epoch 1 (batch = 13): Loss: -86.889 L: 12.396, 0min2sec 
Epoch 1 (batch = 14): Loss: -87.111 L: 12.431, 0min2sec 
Epoch 1 (batch = 15): Loss: -85.470 L: 12.325, 0min2sec 
Epoch 1 (batch = 16): Loss: -87.014 L: 12.370, 0min2sec 
Epoch 1 (batch = 17): Loss: -86.358 L: 12.302, 0min2sec 
Epoch 1 (batch = 18): Loss: -86.568 L: 12.303, 0min2sec 
Epoch 1 (batch = 19): Loss: -87.963 L: 12.324, 0min2sec 
Epoch 1 (batch = 20): Loss: -86.820 L: 12.319, 0min6sec 
Epoch 1 (batch = 21): Loss: -85.699 L: 12.242, 0min5sec 
Epoch 1 (batch = 22): Loss: -85.986 L: 12.221, 0min5sec 
Epoch 1 (batch = 23): Loss: -85.786 L: 12.199, 0min5sec 
Epoch 1 (batch = 24): Loss: -85.598 L: 12.161, 0min4sec 
Epoch 1 (batch = 25): Loss: -84.990 L: 12.139, 0min7sec 
Epoch 1 (batch = 26): Loss: -83.526 L: 12.102, 0min5sec 
Epoch 1 (batch = 27): Loss: -82.832 L: 12.053, 0min6sec 
Epoch 1 (batch = 28): Loss: -82.182 L: 12.037, 0min3sec 
Epoch 1 (batch = 29): Loss: -81.218 L: 12.006, 0min2sec 
Epoch 1 (batch = 30): Loss: -81.418 L: 11.998, 0min2sec 
Epoch 1 (batch = 31): Loss: -80.474 L: 11.956, 0min2sec 
Epoch 1 (batch = 32): Loss: -79.906 L: 11.912, 0min1sec 
Epoch 1 (batch = 33): Loss: -79.625 L: 11.867, 0min2sec 
Epoch 1 (batch = 34): Loss: -79.086 L: 11.825, 0min1sec 
Epoch 1 (batch = 35): Loss: -78.516 L: 11.781, 0min1sec 
