240117_16_17
 start training 
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 0) 
bl_vals = [ 2.  3. 32. ... 32.  2. 32.] ,means = 21.033899307250977 
Epoch 0 (batch = 0): Loss: 62.236 L: 13.453, 0min3sec 
Epoch 0 (batch = 1): Loss: 65.786 L: 14.641, 0min2sec 
Epoch 0 (batch = 2): Loss: 67.043 L: 13.958, 0min2sec 
Epoch 0 (batch = 3): Loss: 64.699 L: 13.859, 0min2sec 
Epoch 0 (batch = 4): Loss: 62.591 L: 13.312, 0min2sec 
Epoch 0 (batch = 5): Loss: 60.437 L: 13.044, 0min2sec 
Epoch 0 (batch = 6): Loss: 57.464 L: 12.710, 0min2sec 
Epoch 0 (batch = 7): Loss: 53.116 L: 12.236, 0min1sec 
Epoch 0 (batch = 8): Loss: 51.680 L: 12.208, 0min2sec 
Epoch 0 (batch = 9): Loss: 49.592 L: 11.939, 0min2sec 
Epoch 0 (batch = 10): Loss: 47.886 L: 11.798, 0min1sec 
Epoch 0 (batch = 11): Loss: 46.820 L: 11.547, 0min2sec 
Epoch 0 (batch = 12): Loss: 44.708 L: 11.251, 0min1sec 
Epoch 0 (batch = 13): Loss: 42.213 L: 10.902, 0min1sec 
Epoch 0 (batch = 14): Loss: 40.832 L: 10.666, 0min2sec 
Epoch 0 (batch = 15): Loss: 39.144 L: 10.412, 0min2sec 
Epoch 0 (batch = 16): Loss: 37.384 L: 10.200, 0min0sec 
Epoch 0 (batch = 17): Loss: 36.158 L: 9.925, 0min2sec 
Epoch 0 (batch = 18): Loss: 35.945 L: 9.704, 0min5sec 
Epoch 0 (batch = 19): Loss: 34.717 L: 9.473, 0min1sec 
Epoch 0 (batch = 20): Loss: 33.436 L: 9.238, 0min0sec 
Epoch 0 (batch = 21): Loss: 33.530 L: 9.052, 0min2sec 
Epoch 0 (batch = 22): Loss: 32.488 L: 8.841, 0min1sec 
Epoch 0 (batch = 23): Loss: 31.418 L: 8.652, 0min1sec 
Epoch 0 (batch = 24): Loss: 30.435 L: 8.484, 0min0sec 
Epoch 0 (batch = 25): Loss: 29.473 L: 8.322, 0min0sec 
Epoch 0 (batch = 26): Loss: 28.552 L: 8.157, 0min0sec 
